url;nombre_largo;sigla;grupo_portales;tipo_ambiente;ambiente_portal
https://www1.gub.uy/unidad-certificacion-electronica;Unidad de Certificación Electrónica;UCE;Grupo 5;portal;staging
https://www.gub.uy/congreso-intendentes;Congreso de Intendentes;CI;Grupo 6;portal;produccion
https://www1.gub.uy/congreso-intendentes;Congreso de Intendentes;CI;Grupo 6;portal;staging
https://www.gub.uy/intendencia-lavalleja;Intendencia de Lavalleja;IL;Grupo 6;portal;produccion
https://www1.gub.uy/intendencia-lavalleja;Intendencia de Lavalleja;IL;Grupo 6;portal;staging
https://www.gub.uy/junta-departamental-montevideo;Junta Departamental de Montevideo;JDM;Grupo 6;portal;produccion
https://www1.gub.uy/junta-departamental-montevideo;Junta Departamental de Montevideo;JDM;Grupo 6;portal;staging
https://www.gub.uy/junta-nacional-drogas;Junta Nacional de Drogas;JND;Grupo 6;portal;produccion
https://www1.gub.uy/junta-nacional-drogas;Junta Nacional de Drogas;JND;Grupo 6;portal;staging
https://www.gub.uy/ministerio-desarrollo-social;Ministerio de Desarrollo Social;MIDES;Grupo 6;portal;produccion
https://www1.gub.uy/ministerio-desarrollo-social;Ministerio de Desarrollo Social;MIDES;Grupo 6;portal;staging
https://www.gub.uy/ministerio-economia-finanzas;Ministerio de Economía y Finanzas;MEF;Grupo 6;portal;produccion
https://www1.gub.uy/ministerio-economia-finanzas;Ministerio de Economía y Finanzas;MEF;Grupo 6;portal;staging
https://www.gub.uy/museos-espacios-culturales-mec;Museos y Espacios Culturales MEC;MEC;Grupo 6;portal;produccion
https://www1.gub.uy/museos-espacios-culturales-mec;Museos y Espacios Culturales MEC;MEC;Grupo 6;portal;staging
https://www.gub.uy/secretaria-inteligencia-estrategica-estado;Secretaría de Inteligencia Estratégica del Estado;SIEE;Grupo 6;portal;produccion
https://www1.gub.uy/secretaria-inteligencia-estrategica-estado;Secretaría de Inteligencia Estratégica del Estado;SIEE;Grupo 6;portal;staging
https://www.gub.uy/sistema-cuidados;Sistema Nacional Integrado de Cuidados;SNIC;Grupo 6;portal;produccion
https://www1.gub.uy/sistema-cuidados;Sistema Nacional Integrado de Cuidados;SNIC;Grupo 6;portal;staging
https://www.gub.uy/tribunal-cuentas;Tribunal de Cuentas;TC;Grupo 6;portal;produccion
https://www.gub.uy/unidad-reguladora-control-datos-personales;Unidad Reguladora y de Control de Datos Personales;URCDP;Grupo 6;portal;produccion
https://www1.gub.uy/unidad-reguladora-control-datos-personales;Unidad Reguladora y de Control de Datos Personales;URCDP;Grupo 6;portal;staging
https://www.gub.uy/uruguay-digital;Uruguay Digital;UD;Grupo 6;portal;produccion
https://www1.gub.uy/uruguay-digital;Uruguay Digital;UD;Grupo 6;portal;staging
https://www.gub.uy/capacitaciones;Portal de Capacitaciones;CAPACITACIONES;Grupo 7;especial;produccion
https://www1.gub.uy/capacitaciones;Portal de Capacitaciones;CAPACITACIONES;Grupo 7;especial;staging
